Variation;Size;Date;Color;Location;Photo;Extension
126b;50 x 61;1978/81;Bleu M;B;DHM126b;.HEIC
127;73 x 60;1978/79;;BC;DHM127;.HEIC
128;73 x 54;1978/79;Gris;B;DHM128;.HEIC
129;;;;;DHM129;.HEIC
130;;1978;;Mrs Biddy Boswell, 3 Princes Buildings, Clifton, Bristol BS8 4LB, Royaume-Uni;DHM130;.HEIC
131;;;;;DHM131;.HEIC
132;55 x 46;1978/82;Vert;P;DHM132;.HEIC
133;;;;;DHM133;.HEIC
134;27 x 36;1978/84;Rose;B;DHM134;.HEIC
135;80 x 80;1978/80;;BC;DHM135;.HEIC
136;;;;;DHM136;.HEIC
137;38 x 55;;Greige;P ;DHM137;.HEIC
138;;;;;DHM138;.HEIC
139;50 x 61;1978/83;Gris;B;DHM139;.HEIC
140;;;;;DHM140;.HEIC
141;;;;;DHM141;.HEIC
142;27 x 36;1978/83;Jaune;B;DHM142;.HEIC
143;50 x 40;1978/89;Gris;P;DHM143;.HEIC
144;;1978/80;;RHM ??;DHM144;.HEIC
145;65 x 81;1978/84;Kaki;B;DHM145;.HEIC
146;60 x 81;1978/80;Mauve;B;DHM146;.HEIC
147;81 x 100;1978/81;Gris;BH Vendu;DHM147;.HEIC
148;;;;;DHM148;.HEIC
149;;;;;DHM149;.HEIC
150;60 x 60;1979;;"June Marston Dyson, 740 Park Ave, New York ; died 2020 ";DHM150;.HEIC
151;;;;;DHM151;.HEIC
152;;1979;;Henri Raynal;DHM152;.HEIC
153;65 x 81;1979;Gris;B;DHM153;.HEIC
154;46 x 55;1973/80;Mauve;B;DHM154;.HEIC
155;73 x 73;1979/80;;Sue Witter, New York;DHM155;.HEIC
156;;;;;DHM156;.HEIC
157;;;;;DHM157;.HEIC
158;;1979/80;;Leszczynski;DHM158;.HEIC
159;;;;;DHM159;.HEIC
160;;;;;DHM160;.HEIC
161;73 x 54;1979/83;;BC;DHM161;.HEIC
162;;;;;DHM162;.HEIC
163;61 x 50;1979/80;;BC;DHM163;.HEIC
164;35 x 27;1974/83;Gris;Pr?t Cahiers d Art;DHM164;.HEIC
165;;;;;DHM165;.HEIC
166;80 x 80;1979/2007;;BC;DHM166;.HEIC
167;;;;;DHM167;.HEIC
168;50 x 61;1979/1981;;BC;DHM168;.HEIC
169;81 x 65;1977/80;Mauve;P ;DHM169;.HEIC
170;65 x 54;1973/78;Kaki;P ;DHM170;.HEIC
171;73 x 100;1980/83;;BC;DHM171;.HEIC
172;65 x 81;1980/81;;B;DHM172;.HEIC
173;50 x 50;1980;;BC;DHM173;.HEIC
174;60 x 60;1980;;BC;DHM174;.HEIC
175;50 x 61;1980;Bleu canard;P ;DHM175;.HEIC
176;;;;;DHM176;.HEIC
177;73 x 60;1980/81;;BC;DHM177;.HEIC
178;73 x 60;1980/81;;Martha's Vineyard Mass;DHM178;.HEIC
179;;;;;DHM179;.HEIC
180;;1981/90;;Alexandre Velenovski *;DHM180;.HEIC
181;65 x 81;1980/83;Vert;B;DHM181;.HEIC
182;;;;;DHM182;.HEIC
183;;;;;DHM183;.HEIC
184;;;;;DHM184;.HEIC
185;;1980/82;;Raulin;DHM185;.HEIC
186;35 x 35;1980/82;;RMH ??;DHM186;.HEIC
187;;;;;DHM187;.HEIC
188;60 x 60;1975/82;Kaki;P;DHM188;.HEIC
189;81 x 54;1981/83;Beige;P;DHM189;.HEIC
190;60 x 73;1981/82;;BC;DHM190;.HEIC
191;54 x 65;1981/83;;BC;DHM191;.HEIC
192;61 x 50;1976/81;;BH Vendu;DHM192;.HEIC
193;92 x 60;1981;;BC;DHM193;.HEIC
194;65 x 81;1981/85;Bleu;BH Vendu;DHM194;.HEIC
195;;;;;DHM195;.HEIC
196;89 x 116;1981/84;Kaki;P;DHM196;.HEIC
197;81 x 100;1981/83;;BC;DHM197;.HEIC
198;80 x 80;1981/83;;BC;DHM198;.HEIC
199;61 x 46;1981/82;;San Joaquin Gal Hospital;DHM199;.HEIC
200;73 x 73;1981/84;;BC;DHM200;.HEIC
201;92 x 73;1981/82;Vert;BH Vendu;DHM201;.HEIC
202;100 x 81;1981/82;Bleu M;MFA Boston;DHM202;.HEIC
203;73 x 92;1981/83;Jaune;BH Vendu;DHM203;.HEIC
204;73 x 73;1981/82;;BC;DHM204;.HEIC
205;73 x 73;1981/82;;BC;DHM205;.HEIC
206;73 x 73;1981/82;;BC;DHM206;.HEIC
207;73 x 73;1981/82;;BC;DHM207;.HEIC
208;;;;;DHM208;.HEIC
204;40 x 70;1982/83;;BC;DHM204;.HEIC
210;;;;;DHM210;.HEIC
211;50 x 50;1982/85;;BC;DHM211;.HEIC
212;81 x 65;1982/84;;BC;DHM212;.HEIC
213;64 x 91;1982/85;Rose poudr?;P;DHM213;.HEIC
214;54 x 73;1982/86;Gris;BH Vendu;DHM214;.HEIC
215;73 x 100;1983/85;Vert d'eau;P;DHM215;.HEIC
216;71,5 x 60,5;1983/88;;BC;DHM216;.HEIC
217;;;;;DHM217;.HEIC
218;81 x 60;1983/84;Bleu Vert;P ;DHM218;.HEIC
219;;;;;DHM219;.HEIC
220;74 x 55;1983/84;Gris;P ;DHM220;.HEIC
221;65 x 92;1983/84;Mauve;P ;DHM221;.HEIC
222;;;;;DHM222;.HEIC
223;65 x 81;1983/86;Bleu;B;DHM223;.HEIC
224;;;;;DHM224;.HEIC
225;73 x 92;1983/84;Vert;P ;DHM225;.HEIC
226;22 x 27;1983/84;Bleu ciel;Irus Hansma;DHM226;.HEIC
227;54 x 73;1983;Mauve;P ;DHM227;.HEIC
228;63 x 63;1983;;San Joaquin Gal Hospital;DHM228;.HEIC
229;92 x 65;1983/86;;P;DHM229;.HEIC
230;43 x 58,5;1983/84;;BC;DHM230;.HEIC
231;67 x 77;1983/84;Rose poudr?;MFA Boston;DHM231;.HEIC
232;76 x 58;1983/85;;BC;DHM232;.HEIC
233;55 x 83;1983/85;Mauve;P ;DHM233;.HEIC
234;76,5 x 63;1983/85;;BC;DHM234;.HEIC
235;58 x 48;1983/87;Vert p?le;MFA Boston;DHM235;.HEIC
236;58 x 38;1983/84;Vert d'eau;MFA Boston;DHM236;.HEIC
237;84 x 63;1983/85;;Hunter;DHM237;.HEIC
238;60 x 60;;;Joyce Sborgi, Firenze, Italie (moved to L.A. ? 310-556-1932);DHM238;.HEIC
239;63 x 63;1984/93;;San Joaquin Gal Hospital;DHM239;.pdf
240;68 x 86;1984/85;Kaki;B;DHM240;.HEIC
241;73 x 60;1984/86;Rose poudr?;BH Vendu;DHM241;.HEIC
242;78,5 x 78,5;1984/85;;San Joaquin Gal Hospital;DHM242;.HEIC
243;;1984/85;;Lillie & Ned Johnson, Boston;DHM243;.HEIC
244;86,5 x 63,5;1984/85;;BC;DHM244;.HEIC
245;58 x 76;1984/85;Vert d'eau;B;DHM245;.HEIC
246;86,5 x 68,5;1984/86;;BC;DHM246;.HEIC
247;76 x 66;1984/86;Gris;B;DHM247;.HEIC
248;44 x 21;1984/86;;Caroline Fert?, Paris;DHM248;.HEIC
249;65 x 100;1984/86;Jaune;BH Vendu;DHM249;.HEIC
250;;1984/87;;RMH (Hunter);DHM250;.HEIC
251;54 x 81;1984/87;Vert d'eau;P;DHM251;.HEIC
252;;;;;DHM252;.HEIC
253;50 x 100;1984/86;Bleu ciel;P;DHM253;.HEIC
254;73 x 100;1984/2009;Bleu ciel;BH Vendu;DHM254;.HEIC
255;;;;;DHM255;.HEIC
256;65 x 81;1984/86;;BC;DHM256;.HEIC
257;73 x 92;1984/88;Bleu;B;DHM257;.HEIC
258;54 x 73;1984/85;Bleu ciel;B;DHM258;.HEIC
259;35 x 28;1984/87;;BC;DHM259;.HEIC
260;;1984/85;;Jean Robert, Paris;DHM260;.HEIC
261;60 x 73;1985/86;;BC;DHM261;.HEIC
262;80 x 60;1984/86;;Nicholas Argyres, St Louis;DHM262;.HEIC
263;;;;;DHM263;.HEIC
264;73 x 92;1985/93;Gris;B;DHM264;.HEIC
265;60 x 81;1985/95;Vert p?le;B;DHM265;.HEIC
266;;;;;DHM266;.HEIC
267;46 x 55;1985/86;;BC;DHM267;.HEIC
268;;;;;DHM268;.HEIC
269;80 x 80;1985/86;;BC;DHM269;.HEIC
270;50 x 73;1985/2008;;BC;DHM270;.HEIC
271;60 x 60;1985/88;Rose poudr?;B;DHM271;.HEIC
272;63 x 92;1985/93;Vert;B;DHM272;.HEIC
273;60 x 81 ;1985/2001;Vert p?le;B;DHM273;.HEIC
274;73 x 60;1985/86;Gris p?le;P;DHM274;.HEIC
275;65 x 92;1985/89;Rose;B;DHM275;.HEIC
276;81 x 65;1985/88;Rose poudr?;P;DHM276;.HEIC
277;;;;;DHM277;.HEIC
278;;;;;DHM278;.HEIC
279;;;;;DHM279;.HEIC
280;65 x 100;1986/88;Beige;B;DHM280;.HEIC
281;;;;;DHM281;.HEIC
282;81 x 54;1986/89;;BC;DHM282;.HEIC
283;80 x 40;1986/93;;BC;DHM283;.HEIC
284;65 x 92;1986/92;Mauve;B;DHM284;.HEIC
285;116 x 89;1986/90;;BC;DHM285;.HEIC
286;50 x 73;1986/88;Vert d'eau;B;DHM286;.HEIC
287;40 x 20;1986/88;;;DHM287;.HEIC
288;50 x 25;1986/88;;Lydia Harambourg;DHM288;.HEIC
289;30 x 30;1986/90;;;DHM289;.HEIC
290;25 x 25;1986/88;;Johnson;DHM290;.HEIC
291;Ov 50 X 61;1986/89;Bleu;B;DHM291;.HEIC
292;54 x 73;1986/89;Gris;P;DHM292;.HEIC
293;73 x 60;1986/2007;Vert Beige;B;DHM293;.HEIC
294;81 x 60;1986/91;Vert;B;DHM294;.HEIC
295;;;;;DHM295;.HEIC
296;73 x 73;1988/89;;BC;DHM296;.HEIC
297;73 x 92;1988/89;Gris;B;DHM297;.HEIC
298;81 x 100;1988/89;;BC;DHM298;.HEIC
299;65 x 100;1988/95;Gris;B;DHM299;.HEIC
300;73 x 100;1988/90;Bleu;B;DHM300;.HEIC
301;100 x 73;1988/93;;Alexandre Velenovski *;DHM301;.HEIC
302;80 x 80;1988/90;Bleu;B;DHM302;.HEIC
303;65 x 100;1988/98;Bleu;B;DHM303;.HEIC
304;90 x 30;1988/2013;Vert;B;DHM304;.HEIC
305;;;;;DHM305;.HEIC
306;;;;;DHM306;.HEIC
307;92 x 73;1989/90;Mauve;B;DHM307;.jpg
308;60 x 81 ;1989/92;Gris p?le;P;DHM308;.HEIC
309;55 x 38;1989/94;;BC;DHM309;.HEIC
310;81 x 60;1989/2007;Vert d'eau;P;DHM310;.HEIC
311;;;;;DHM311;.HEIC
312;116 x 89;1989/96;Kaki;P;DHM312;.HEIC
313;73 x 92;1989/92;;BC;DHM313;.HEIC
314;80 x 80;1989/92;;BC;DHM314;.HEIC
315;50 x 50;1990/93;;BC;DHM315;.HEIC
316;;;;;DHM316;.HEIC
317;;;;;DHM317;.HEIC
318;46 x 38;1992/94;;Alexandre Velenovski *;DHM318;.HEIC
319;;;;;DHM319;.HEIC
320;60 x 60;1990/2007;Bleu ciel;Nadezda *;DHM320;.HEIC
321;54 x 73;1990/94;Gris;P;DHM321;.HEIC
322;71 x 36;1990/93;Mauve;MFA Boston;DHM322;.HEIC
323;92 x 73;1990/93;;Michael Argyres, Davis CA;DHM323;.HEIC
324;60 x 60;1990/2007;Gris bleu;Nadezda *;DHM324;.HEIC
325;100 x 81;1990/95;;BC;DHM325;.HEIC
326;80 x 80;1990/2007;;BC;DHM326;.HEIC
327;;1990/97;;Alexandre Velenovski *;DHM327;.HEIC
328;65 x 81;1990/92;Gris;P;DHM328;.HEIC
329;92 x 73;1990/96;Kaki;P;DHM329;.HEIC
330;73 x 60;1990/97;;BC;DHM330;.HEIC
331;81 x 100;1990/94;;BC;DHM331;.HEIC
332;50 x 50;1991/2007;;BC;DHM332;.HEIC
333;73 x 60;1991/94;Abricot;B;DHM333;.HEIC
334;73 x 92;1991/2010;;BC;DHM334;.HEIC
335;60 x 30;1991;;Henri Raynal ??;DHM335;.HEIC
336;81 x 65;1991/93;Gris;B;DHM336;.HEIC
337;35,5 x 35,5;2005/06;Beige;Irus Hansma;DHM337;.HEIC
338;25 x 50;1992/94;;BC;DHM338;.HEIC
339;22 x 33;1991/92;Rose poudr?;B;DHM339;.HEIC
340;73 x 50;1991/2005;Rose poudr?;B;DHM340;.HEIC
341;;;;;DHM341;.HEIC
342;65 x 81;1992/95;Kaki;P;DHM342;.HEIC
343;60 x 60;1992/96;Gris bleu;Nadezda *;DHM343;.HEIC
344;;;;;DHM344;.HEIC
345;;;;;DHM345;.HEIC
346;;;;;DHM346;.HEIC
347;50 x 25;1992/94;;BC;DHM347;.HEIC
348;;;;;DHM348;.HEIC
349;80 x 80;1993/2007;Vert;B;DHM349;.HEIC
350;80 x 80;1993/2007;;BC;DHM350;.HEIC
351;;;;;DHM351;.HEIC
352;;;;;DHM352;.HEIC
353;;;;;DHM353;.HEIC
354;81 x 100;1993/97;Jaune;B;DHM354;.HEIC
355;80 x 80;1993/95;;Ernestos Argyres, Ath?nes;DHM355;.HEIC
356;81 x 100;1993/99;Vert clair;B;DHM356;.HEIC
357;80 x 80;1993/95;;BC;DHM357;.HEIC
358;73 x 92;1993/2011;;BC;DHM358;.HEIC
359;65 x 81;1993/95;Gris;BH Vendu;DHM359;.HEIC
360;;;;;DHM360;.HEIC
361;81 x 65;1993/95;;BC;DHM361;.HEIC
362;60 X 81;1993/2002;Mauve;P;DHM362;.HEIC
363;92 x 60;1993/2008;;BC;DHM363;.HEIC
364;;;;;DHM364;.HEIC
365;80 x 80;1994/2013;;BC;DHM365;.HEIC
366;73 x 100;1994/95;;BC;DHM366;.HEIC
367;65 X 92;1994/2012;;BC;DHM367;.HEIC
368;;1999/2009;;Alexandre Velenovski *;DHM368;.HEIC
369;;;;;DHM369;.HEIC
370;;;;;DHM370;.HEIC
371;73 x 92;1994/2007;Orange;B;DHM371;.HEIC
372;73 x 100;1994/2001;Jaune;B;DHM372;.HEIC
373;100 x 81;1994/2007;Jaune;B;DHM373;.HEIC
374;73 x 92;1995/96;;BC;DHM374;.HEIC
375;81 x 100;1981/82;;Vineyard Conservation Society;DHM375;.HEIC
376;100 x 73;1995/97;;Ernestos Argyres, Ath?nes;DHM376;.HEIC
377;73 x 92;1995/96;;BC;DHM377;.HEIC
378;92 x 73;;Gris clair;;DHM378;.HEIC
379;90 x 118;1995/96;Orange;MFA Boston BC ? verifier au Mus?e;DHM379;.HEIC
380;65 x 81;1995/97;;BC;DHM380;.HEIC
381;73 x 60;1995/96;Mauve;B;DHM381;.HEIC
382;100 x 73;1995/96;;BC;DHM382;.HEIC
383;92 x 73;1995/97;;BC;DHM383;.HEIC
384;81 x 65;1995/96;Rose;B;DHM384;.HEIC
385;73 x 60;1995/97;;BC;DHM385;.HEIC
386;;;;;DHM386;.HEIC
387;;;;;DHM387;.HEIC
388;;;;;DHM388;.HEIC
389;35 x 70;1996/2011;Jaune;B;DHM389;.HEIC
390;73 x 100;1996/2007;;BC;DHM390;.HEIC
391;73 x 92;1996/2007;Vert;B;DHM391;.HEIC
392;73 x 60;1996/2007;;BC;DHM392;.HEIC
393;81 x 65;1996/2016;;BC;DHM393;.HEIC
394;;;;;DHM394;.HEIC
395;92 x 60;1996/97;;BC;DHM395;.HEIC
396;65 x 81;1996/98;;BC;DHM396;.HEIC
397;73 x 50;1996/2002;Bleu ciel;B;DHM397;.HEIC
398;50 x 100;1996/2000;Bleu ciel;B;DHM398;.HEIC
399;;;;;DHM399;.HEIC
400;73 x 92;1996/2000;Bleu;B;DHM400;.HEIC
401;;;;;DHM401;.HEIC
402;81 x 65;1997/98;;BC;DHM402;.HEIC
403;54 x 81;1997/2009;Bleu ciel;P;DHM403;.HEIC
404;50 x 25;1997/98;;Maurice Letulle, Paris;DHM404;.HEIC
405;92 x 60;1997/98;;Zoe & Steve Hunter, Amber PA;DHM405;.HEIC
406;100 x 73;1997/2001;;BC;DHM406;.HEIC
407;92  x 73;1997/2006;Vert;B;DHM407;.HEIC
408;;;Vert d'eau;ANNISSA;DHM408;.HEIC
409;T 30 cm;1997/2017;Bleu;B;DHM409;.HEIC
410;;1997/2007;;Alexandre Velenovski *;DHM410;.HEIC
411;;;;;DHM411;.HEIC
412;;;;;DHM412;.HEIC
413;;;;;DHM413;.HEIC
414;;;;;DHM414;.HEIC
415;81 x 65;2012/2015;Kaki;B Disparu;DHM415;.HEIC
416;Ov 65 x 54;1997/2001;Bleu;B;DHM416;.HEIC
417;60 x 60;1998;;BC;DHM417;.HEIC
418;;;;;DHM418;.HEIC
419;92  x 73;1998;Bleu Marine;B;DHM419;.HEIC
420;80 x 80;1998;;BC;DHM420;.HEIC
421;92 x 60;1998/99;;BC;DHM421;.HEIC
422;;;;;DHM422;.HEIC
423;;;;;DHM423;.HEIC
424;81 x 60;1998/2003;;BC;DHM424;.HEIC
425;60 x 73;1998/99;;San Joaquin Gal Hospital;DHM425;.HEIC
426;65 x 81;1998/2000;;BC;DHM426;.HEIC
427;73 x 54;1998/2000;Bleu ciel;P;DHM427;.HEIC
428;22 x 27;1998/2009;Gris;P;DHM428;.HEIC
429;;;;;DHM429;.HEIC
430;;;;;DHM430;.HEIC
431;;;;;DHM431;.HEIC
432;40 x 40;1998/2000;;Emeric Hahn;DHM432;.HEIC
433;50 x 100;1998/99;;BC;DHM433;.HEIC
434;50 x 50;2003/06;Noir;Nadezda *;DHM434;.HEIC
435;;;;;DHM435;.HEIC
436;73 x 92;1999/2012;Vert;B;DHM436;.HEIC
437;92 x 60;1999/2001;;BC;DHM437;.HEIC
438;92 x 65;1999/2012;Vert;B;DHM438;.HEIC
439;50 x 73;1999/2001;Vert d'eau;P;DHM439;.HEIC
440;65 x 81;1999/2012;;BC;DHM440;.HEIC
441;61 x 50;1999/2012;Vert;B;DHM441;.HEIC
442;65 x 54;1999/2011;;BC;DHM442;.HEIC
443;;;;;DHM443;.HEIC
444;80 x 80;1999/2010;;BC;DHM444;.HEIC
445;81 x 100;1999/2009;Gris;B;DHM445;.HEIC
446;;;;;DHM446;.HEIC
447;;;;;DHM447;.HEIC
448;;;;;DHM448;.HEIC
449;Ov 54 x 65;1999/2008;Rouge;B;DHM449;.HEIC
450;;1999/2011;;Alexandre Velenovski *;DHM450;.HEIC
451;;;;;DHM451;.HEIC
452;;;;;DHM452;.HEIC
453;;;;;DHM453;.HEIC
454;92  x 73;2000/11;Bleu;B;DHM454;.HEIC
455;65 x 81;2000/12;;BC;DHM455;.HEIC
456;92  x 73;2000/12;Mauve;B;DHM456;.HEIC
457;116 x 73;;Gris Mauve;B;DHM457;.HEIC
458;;;;;DHM458;.HEIC
459;81 x 60;2000/13;Bleu;B;DHM459;.HEIC
460;81 x 100;2000/01;;BC;DHM460;.HEIC
461;;;;;DHM461;.HEIC
462;92  x 73;2000/03;Marron;B;DHM462;.HEIC
463;;;;;DHM463;.HEIC
464;60 x 92;2000/17;Orange;P;DHM464;.HEIC
465;60 x 60;2000/01;;Rubercy;DHM465;.HEIC
466;;;;;DHM466;.HEIC
467;;;;;DHM467;.HEIC
468;;;;;DHM468;.HEIC
469;;2001/08;;Rubercy;DHM469;.HEIC
470;;;;;DHM470;.HEIC
471;81 x 65 ;2001/12;Gris;B;DHM471;.HEIC
472;40 x 40;2001/09;Gris;P;DHM472;.HEIC
473;27 x 35;2001/08;Gris;P;DHM473;.HEIC
474;;;;;DHM474;.HEIC
475;;;;;DHM475;.HEIC
476;50 x 50;2001/07;;BC;DHM476;.HEIC
477;55 x 46;2001/09;;BC;DHM477;.HEIC
478;80 x 80;2001/11;;BC;DHM478;.HEIC
479;;;;;DHM479;.HEIC
480;60 x 92;2001/03;Bleu ciel;B;DHM480;.HEIC
481;;2001/09;;Nicholas Argyres;DHM481;.HEIC
482;100 x 73;2001/08;;BC;DHM482;.HEIC
483;92 x 73;2001/09;;BC;DHM483;.HEIC
484;100 x 73;2001/09;;BC;DHM484;.HEIC
485;Ov 60 x 73;2001/08;Kaki;B;DHM485;.HEIC
486;65 x 81;2002/13;Mauve;B;DHM486;.HEIC
487;100 x 73;2001/12;;BC;DHM487;.HEIC
488;60 x 92;2002/12;Mauve;B;DHM488;.HEIC
489;81 x 54;2002/03;;BC;DHM489;.HEIC
490;92 x 73;2002/07;;BC;DHM490;.HEIC
491;;;;;DHM491;.HEIC
492;65 x 81;2002/04;;BC;DHM492;.HEIC
493;81 x 60;2002/04;;BC;DHM493;.HEIC
494;92 x 73;2002/11;;BC;DHM494;.HEIC
495;;2002/07;;Johnson;DHM495;.HEIC
496;81 x 65;2002/07;;BC;DHM496;.HEIC
497;60 x 60;2002/10;Bleu vert;B;DHM497;.HEIC
498;81 x 60;2002/04;;BC;DHM498;.HEIC
499;81 x 54;2002/04;Vert p?le;B;DHM499;.HEIC
500;65 x 54;2002/13;Vert d'eau;P;DHM500;.HEIC
501;60 x 92;2002/13;;BC;DHM501;.HEIC
502;81 x 60;2003/05;;BC;DHM502;.HEIC
503;;;;;DHM503;.HEIC
504;;;;;DHM504;.HEIC
505;80 x 80;2005/06;;BC;DHM505;.HEIC
506;100 x 73;2003/05;;BC;DHM506;.HEIC
507;73 x 92;2003/12;;BC;DHM507;.HEIC
508;65 x 81;2003/05;;BC;DHM508;.HEIC
509;73 x 60;2003/05;;BC;DHM509;.HEIC
510;92 x 60;2003/05;;BC;DHM510;.HEIC
511;50 x 50;2003/06;Bleu ciel;Nadezda;DHM511;.HEIC
